Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Order Year,Order Month,Order Month Name,Order Quarter,Order Day,Day of Week,Revenue After Discount,Profit Margin %,Discount %,Profit Category
OD00001,Harish,Oil & Masala,Masalas,Vellore,11/8/2017,North,1254,0.12,401.28,Tamil Nadu,2017,11,November,Q4,8,Wednesday,1103.52,32,12,High
OD00002,Sudha,Beverages,Health Drinks,Krishnagiri,11/8/2017,South,749,0.18,149.8,Tamil Nadu,2017,11,November,Q4,8,Wednesday,614.18,20,18,Medium
OD00003,Hussain,Food Grains,Atta & Flour,Perambalur,6/12/2017,West,2360,0.21,165.2,Tamil Nadu,2017,6,June,Q2,12,Monday,1864.4,7,21,Medium
OD00004,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,10/11/2016,South,896,0.25,89.6,Tamil Nadu,2016,10,October,Q4,11,Tuesday,672,10,25,Low
OD00005,Ridhesh,Food Grains,Organic Staples,Ooty,10/11/2016,South,2355,0.26,918.45,Tamil Nadu,2016,10,October,Q4,11,Tuesday,1742.7,39,26,Very High
OD00006,Adavan,Food Grains,Organic Staples,Dharmapuri,6/9/2015,West,2305,0.26,322.7,Tamil Nadu,2015,6,June,Q2,9,Tuesday,1705.7,14,26,High
OD00007,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,6/9/2015,West,826,0.33,346.92,Tamil Nadu,2015,6,June,Q2,9,Tuesday,553.42,42,33,High
OD00008,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,6/9/2015,West,1847,0.32,147.76,Tamil Nadu,2015,6,June,Q2,9,Tuesday,1255.96,8,32,Medium
OD00009,Hafiz,Bakery,Biscuits,Tirunelveli,6/9/2015,West,791,0.23,181.93,Tamil Nadu,2015,6,June,Q2,9,Tuesday,609.07,23,23,Medium
OD00010,Krithika,Bakery,Cakes,Chennai,6/9/2015,West,1795,0.27,484.65,Tamil Nadu,2015,6,June,Q2,9,Tuesday,1310.35,27,27,High
OD00011,Ganesh,Snacks,Chocolates,Karur,6/9/2015,West,1903,0.13,437.69,Tamil Nadu,2015,6,June,Q2,9,Tuesday,1655.61,23,13,High
OD00012,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,6/9/2015,West,701,0.1,308.44,Tamil Nadu,2015,6,June,Q2,9,Tuesday,630.9,44,10,High
OD00013,Sharon,Snacks,Cookies,Dindigul,4/15/2018,South,1659,0.19,315.21,Tamil Nadu,2018,4,April,Q2,15,Sunday,1343.79,19,19,High
OD00014,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,12/5/2017,West,1277,0.25,63.85,Tamil Nadu,2017,12,December,Q4,5,Tuesday,957.75,5,25,Low
OD00015,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,11/22/2016,Central,831,0.22,207.75,Tamil Nadu,2016,11,November,Q4,22,Tuesday,648.18,25,22,Medium
OD00016,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,11/22/2016,Central,1440,0.11,100.8,Tamil Nadu,2016,11,November,Q4,22,Tuesday,1281.6,7,11,Medium
OD00017,Alan,Bakery,Cakes,Dharmapuri,11/11/2015,Central,1678,0.28,318.82,Tamil Nadu,2015,11,November,Q4,11,Wednesday,1208.16,19,28,High
